time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
6315,1167,20,12,125.00,5,14,-124.00,-19.50,1,0,2026-04-21T23:34:17,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
7643,1168,20,12,125.00,5,14,-120.00,-16.25,2,0,2026-04-21T23:34:18,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
8971,1169,20,12,125.00,5,14,-119.00,-15.00,3,0,2026-04-21T23:34:20,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
10299,1170,20,12,125.00,5,14,-120.00,-14.50,4,0,2026-04-21T23:34:21,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
14284,1173,20,12,125.00,5,14,-121.00,-15.75,5,2,2026-04-21T23:34:25,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
15612,1174,20,12,125.00,5,14,-120.00,-14.25,6,2,2026-04-21T23:34:26,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
16940,1175,20,12,125.00,5,14,-121.00,-15.25,7,2,2026-04-21T23:34:28,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
18269,1176,20,12,125.00,5,14,-121.00,-16.25,8,2,2026-04-21T23:34:29,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
19597,1177,20,12,125.00,5,14,-118.00,-14.75,9,2,2026-04-21T23:34:30,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
20925,1178,20,12,125.00,5,14,-119.00,-15.50,10,2,2026-04-21T23:34:32,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
22253,1179,20,12,125.00,5,14,-120.00,-16.25,11,2,2026-04-21T23:34:33,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
23582,1180,20,12,125.00,5,14,-120.00,-16.75,12,2,2026-04-21T23:34:34,04_sftrade_2mile_obstacle_sf12_bw125_cr45_p14_run1,longrange,3219,obstacle,2 mile obstacle SF12 tradeoff
