time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
1106,1075,20,10,125.00,5,14,-121.00,-11.50,1,0,2026-04-21T22:50:46,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
1486,1076,20,10,125.00,5,14,-121.00,-10.50,2,0,2026-04-21T22:50:47,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
1866,1077,20,10,125.00,5,14,-121.00,-11.50,3,0,2026-04-21T22:50:47,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
2246,1078,20,10,125.00,5,14,-123.00,-13.00,4,0,2026-04-21T22:50:47,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
2626,1079,20,10,125.00,5,14,-123.00,-12.00,5,0,2026-04-21T22:50:48,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
3006,1080,20,10,125.00,5,14,-122.00,-11.75,6,0,2026-04-21T22:50:48,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
3387,1081,20,10,125.00,5,14,-123.00,-13.00,7,0,2026-04-21T22:50:48,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
6427,1089,20,10,125.00,5,14,-123.00,-13.25,8,7,2026-04-21T22:50:52,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
6807,1090,20,10,125.00,5,14,-123.00,-14.00,9,7,2026-04-21T22:50:52,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
7187,1091,20,10,125.00,5,14,-123.00,-13.25,10,7,2026-04-21T22:50:52,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
7947,1093,20,10,125.00,5,14,-123.00,-13.00,11,8,2026-04-21T22:50:53,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
8707,1095,20,10,125.00,5,14,-124.00,-14.00,12,9,2026-04-21T22:50:54,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
9847,1098,20,10,125.00,5,14,-123.00,-13.50,13,11,2026-04-21T22:50:55,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
16688,1116,20,10,125.00,5,14,-123.00,-12.00,14,28,2026-04-21T22:51:02,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
17069,1117,20,10,125.00,5,14,-122.00,-11.25,15,28,2026-04-21T22:51:02,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
17449,1118,20,10,125.00,5,14,-122.00,-11.25,16,28,2026-04-21T22:51:03,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
17829,1119,20,10,125.00,5,14,-122.00,-11.00,17,28,2026-04-21T22:51:03,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
19349,1123,20,10,125.00,5,14,-124.00,-12.75,18,31,2026-04-21T22:51:04,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
20109,1125,20,10,125.00,5,14,-123.00,-11.75,19,32,2026-04-21T22:51:05,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
20489,1126,20,10,125.00,5,14,-122.00,-11.00,20,32,2026-04-21T22:51:06,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
20869,1127,20,10,125.00,5,14,-122.00,-11.00,21,32,2026-04-21T22:51:06,04_sftrade_1mile_obstacle_sf10_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF10 repeat
