time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
2149,348,20,12,125.00,5,14,-101.00,-6.00,1,0,2026-04-21T23:16:09,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
3477,349,20,12,125.00,5,14,-103.00,-7.00,2,0,2026-04-21T23:16:10,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
4805,350,20,12,125.00,5,14,-102.00,-6.25,3,0,2026-04-21T23:16:12,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
6134,351,20,12,125.00,5,14,-102.00,-6.50,4,0,2026-04-21T23:16:13,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
7462,352,20,12,125.00,5,14,-102.00,-6.50,5,0,2026-04-21T23:16:14,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
8790,353,20,12,125.00,5,14,-103.00,-7.25,6,0,2026-04-21T23:16:16,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
10118,354,20,12,125.00,5,14,-102.00,-6.50,7,0,2026-04-21T23:16:17,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
11447,355,20,12,125.00,5,14,-102.00,-6.25,8,0,2026-04-21T23:16:18,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
12775,356,20,12,125.00,5,14,-102.00,-6.25,9,0,2026-04-21T23:16:20,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
14103,357,20,12,125.00,5,14,-103.00,1.00,10,0,2026-04-21T23:16:21,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
15431,358,20,12,125.00,5,14,-102.00,1.75,11,0,2026-04-21T23:16:22,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
16760,359,20,12,125.00,5,14,-104.00,1.50,12,0,2026-04-21T23:16:24,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
18088,360,20,12,125.00,5,14,-103.00,1.75,13,0,2026-04-21T23:16:25,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
19416,361,20,12,125.00,5,14,-105.00,1.50,14,0,2026-04-21T23:16:26,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
20744,362,20,12,125.00,5,14,-103.00,3.00,15,0,2026-04-21T23:16:28,02_sftrade_1mile_obstacle_sf12_bw125_cr45_p14_run2,longrange,1609,obstacle_repeat,1 mile obstacle SF12 repeat
